"sp1","sp2","divergence","ri","sp1_family","sp2_family","clutchsize","habitat","morpho_pc1","morpho_pc2"
"Acryllium vulturinum","Numida meleagris",26,"sterile","Numididae","Numididae",5.5,FALSE,1.44079505279192,-1.36291577279046
"Alectoris barbara","Alectoris graeca",11.5,"sterile","Phasianidae","Phasianidae",0.4,TRUE,-1.53590145199999,0.690617189404519
"Alectoris barbara","Alectoris rufa",11.5,"both","Phasianidae","Phasianidae",1,FALSE,-2.01638471089895,-0.046140766093561
"Alectoris chukar","Alectoris graeca",6.4,"both","Phasianidae","Phasianidae",1.4,FALSE,-1.76244770052003,0.703366713297293
"Alectoris chukar","Alectoris magna",4.42,"male","Phasianidae","Phasianidae",3.3,FALSE,-1.65008791737888,-0.328017442468709
"Alectoris chukar","Alectoris rufa",6.2,"both","Phasianidae","Phasianidae",2.8,TRUE,-2.08618853098536,0.183056484948476
"Alectoris graeca","Alectoris rufa",7.9,"both","Phasianidae","Phasianidae",1.4,FALSE,-1.45939115832416,1.06247107172563
"Callipepla californica","Callipepla douglasii",4.8,"sterile","Odontophoridae","Odontophoridae",5.1,TRUE,-1.9921278115927,-0.220200164508597
"Callipepla californica","Callipepla gambelii",1.77,"sterile","Odontophoridae","Odontophoridae",1.9,TRUE,-2.07206913688195,-0.0862021856238799
"Callipepla californica","Callipepla squamata",4.8,"both","Odontophoridae","Odontophoridae",1.9,TRUE,-2.23702833515541,0.177211537781422
"Callipepla californica","Colinus virginianus",6.1,"both","Odontophoridae","Odontophoridae",6.9,FALSE,-2.08417949686599,-0.472102407631707
"Callipepla gambelii","Callipepla squamata",4.8,"both","Odontophoridae","Odontophoridae",0,TRUE,-2.11559501044372,0.237921680703448
"Callipepla gambelii","Colinus virginianus",6.1,"sterile","Odontophoridae","Odontophoridae",5,FALSE,-2.2545788952955,-0.316910808184597
"Callipepla squamata","Colinus virginianus",6.1,"male","Odontophoridae","Odontophoridae",5,FALSE,-2.01818697466922,-0.0407256220873655
"Callipepla squamata","Philortyx fasciatus",6.8,"sterile","Odontophoridae","Odontophoridae",7.5,TRUE,-2.02539555042947,0.342606914617198
"Catreus wallichi","Chrysolophus pictus",14.3,"sterile","Phasianidae","Phasianidae",1.3,FALSE,2.0623980222318,-2.7814512292192
"Catreus wallichi","Syrmaticus reevesii",17.2,"male","Phasianidae","Phasianidae",1.5,FALSE,-0.924046450287657,-1.3975767619696
"Chrysolophus amherstiae","Chrysolophus pictus",1.82,"both","Phasianidae","Phasianidae",1.2,TRUE,-1.41692604614361,0.381413527984367
"Chrysolophus amherstiae","Lophophorus impejanus",28.9,"sterile","Phasianidae","Phasianidae",2.6,TRUE,4.35728887844142,-3.12737467621395
"Chrysolophus amherstiae","Lophura leucomelanos",13.9,"sterile","Phasianidae","Phasianidae",0.8,TRUE,-1.49097999705541,-0.305119124964214
"Chrysolophus amherstiae","Lophura swinhoii",14.3,"sterile","Phasianidae","Phasianidae",0.8,TRUE,-0.558710126203289,0.921470786580198
"Chrysolophus amherstiae","Phasianus colchicus",13.5,"male","Phasianidae","Phasianidae",3.4,FALSE,0.217464432403996,-0.162170609490875
"Chrysolophus amherstiae","Phasianus versicolor",13.5,"male","Phasianidae","Phasianidae",4,FALSE,-0.395190142627459,0.103960496596065
"Chrysolophus amherstiae","Syrmaticus ellioti",17.2,"sterile","Phasianidae","Phasianidae",0,FALSE,-0.638124011715637,1.49380562667893
"Chrysolophus amherstiae","Syrmaticus reevesii",17.2,"sterile","Phasianidae","Phasianidae",1,FALSE,0.185121574196017,-0.302696267480235
"Chrysolophus amherstiae","Tragopan caboti",28.9,"sterile","Phasianidae","Phasianidae",2.6,FALSE,-1.51624740272855,0.339931006126077
"Chrysolophus pictus","Gallus gallus",31,"sterile","Phasianidae","Phasianidae",1.7,TRUE,-1.24846936166592,0.686190626165493
"Chrysolophus pictus","Lophura leucomelanos",14.3,"male","Phasianidae","Phasianidae",0.4,TRUE,-0.506901283270435,-0.347820805274294
"Chrysolophus pictus","Lophura nycthemera",14.3,"male","Phasianidae","Phasianidae",1.2,TRUE,1.55033398208436,-0.399088299155797
"Chrysolophus pictus","Phasianus colchicus",13.5,"male","Phasianidae","Phasianidae",2.2,FALSE,0.947909430222555,-0.716682137988091
"Chrysolophus pictus","Phasianus versicolor",13.5,"male","Phasianidae","Phasianidae",2.8,FALSE,0.242970362010655,-0.467223878920015
"Chrysolophus pictus","Syrmaticus reevesii",17.2,"male","Phasianidae","Phasianidae",0.2,FALSE,0.892583301752247,-0.810330467236993
"Chrysolophus pictus","Syrmaticus soemmerringii",17.2,"sterile","Phasianidae","Phasianidae",0.7,TRUE,-0.632968184012576,1.38850822926468
"Colinus cristatus","Colinus virginianus",3.44,"both","Odontophoridae","Odontophoridae",3.3,FALSE,-2.15662809896915,0.0188842203884883
"Colinus nigrogularis","Colinus virginianus",1.13,"both","Odontophoridae","Odontophoridae",4.5,FALSE,-2.12676123754188,0.163630331818118
"Coturnix coturnix","Coturnix japonica",3.32,"both","Phasianidae","Phasianidae",0.699999999999999,FALSE,-2.18761544023796,0.166968725786975
"Coturnix japonica","Phasianus colchicus",37,"sterile","Phasianidae","Phasianidae",0.4,FALSE,6.49831453287644,-1.41919449311566
"Crax alberti","Crax alector",2.48,"both","Cracidae","Cracidae",0,TRUE,-0.852975238773674,0.364407409972285
"Crax alberti","Crax fasciolata",2.48,"both","Cracidae","Cracidae",0,TRUE,-0.70837380879838,0.0585009053838788
"Crax alberti","Crax globulosa",2.48,"both","Cracidae","Cracidae",0,TRUE,-0.582874042207841,-0.280187627638218
"Crax alberti","Crax rubra",4.83,"both","Cracidae","Cracidae",0,TRUE,-1.1654894983447,0.147749760767687
"Crax alberti","Mitu mitu",7.1,"both","Cracidae","Cracidae",0.5,TRUE,2.0594196660768,-7.07602009811703
"Crax alberti","Mitu tuberosum",7.1,"both","Cracidae","Cracidae",0.5,TRUE,0.752781976217655,-5.40773464198318
"Crax alector","Crax globulosa",4.93,"both","Cracidae","Cracidae",0,TRUE,0.634024704326733,0.111378384015098
"Crax alector","Crax rubra",4.83,"both","Cracidae","Cracidae",0,TRUE,-0.488183715225487,0.157805227468316
"Crax fasciolata","Crax rubra",4.83,"both","Cracidae","Cracidae",0,TRUE,-0.742235427302081,0.113990365689683
"Crax globulosa","Crax rubra",4.83,"both","Cracidae","Cracidae",0,TRUE,-0.487779382473125,0.526734953753809
"Crossoptilon auritum","Crossoptilon crossoptilon",3.49,"both","Phasianidae","Phasianidae",2,TRUE,-0.813484967841137,-0.706801915483953
"Crossoptilon auritum","Crossoptilon mantchuricum",0.153,"both","Phasianidae","Phasianidae",0.5,TRUE,-1.54057569515371,0.30041321936292
"Crossoptilon crossoptilon","Crossoptilon harmani",0.105,"both","Phasianidae","Phasianidae",1,TRUE,-0.892513290834679,-0.155538605131266
"Crossoptilon mantchuricum","Lophura nycthemera",11.7,"male","Phasianidae","Phasianidae",1,TRUE,1.02122275272432,-2.55565025122916
"Dendragapus fuliginosus","Phasianus colchicus",29.5,"sterile","Phasianidae","Phasianidae",3.9,FALSE,1.42563254941477,0.391979113694855
"Dendragapus obscurus","Phasianus colchicus",29.5,"sterile","Phasianidae","Phasianidae",3,FALSE,1.2051945631357,0.66131456381057
"Francolinus bicalcaratus","Francolinus erckelii",12.1,"male","Phasianidae","Phasianidae",0.3,FALSE,-0.344978976843411,1.16244328155508
"Gallus gallus","Gallus lafayetii",6.4,"both","Phasianidae","Phasianidae",4,TRUE,-1.74060047041373,0.137156032554257
"Gallus gallus","Gallus sonneratii",6.9,"both","Phasianidae","Phasianidae",1.5,TRUE,-2.00133928733147,0.0374726705385732
"Gallus gallus","Gallus varius",5.3,"both","Phasianidae","Phasianidae",2.5,FALSE,-1.78708887184114,0.255639733485727
"Gallus gallus","Lagopus lagopus",31,"sterile","Phasianidae","Phasianidae",3.4,FALSE,0.920317392354541,1.6616945811045
"Gallus gallus","Lophophorus impejanus",31,"sterile","Phasianidae","Phasianidae",2.1,TRUE,3.92567581296409,-4.19083919075269
"Gallus gallus","Lophura nycthemera",31,"sterile","Phasianidae","Phasianidae",0.5,TRUE,0.643918384469396,-0.731794041146312
"Gallus gallus","Meleagris gallopavo",31,"sterile","Phasianidae","Phasianidae",5.4,TRUE,10.5424873764839,1.13359869164559
"Gallus gallus","Numida meleagris",51,"sterile","Phasianidae","Numididae",2.5,FALSE,-0.406898491663661,-1.12080689955122
"Gallus gallus","Pavo cristatus",38,"sterile","Phasianidae","Phasianidae",0.0999999999999996,TRUE,8.44693489341871,2.59440340244188
"Gallus gallus","Perdix perdix",32,"sterile","Phasianidae","Phasianidae",10,FALSE,0.856704083599341,1.34300524779441
"Gallus gallus","Phasianus colchicus",31,"male","Phasianidae","Phasianidae",3.9,FALSE,-0.0205998062877533,-1.22372250721453
"Gallus gallus","Phasianus versicolor",31,"sterile","Phasianidae","Phasianidae",4.5,FALSE,-0.820082487774222,-1.09035006717738
"Gallus lafayetii","Gallus sonneratii",6.7,"both","Phasianidae","Phasianidae",2.5,TRUE,-1.91777269923701,0.0691323005738484
"Gallus sonneratii","Gallus varius",6.9,"both","Phasianidae","Phasianidae",1,FALSE,-1.54326874697142,-0.00532916505440267
"Gallus sonneratii","Lophura nycthemera",31,"sterile","Phasianidae","Phasianidae",2,TRUE,0.255055722719224,-0.596008306159244
