speciesname,count
Meleagris gallopavo,887
Gallus gallus,718
Chrysolophus pictus,555
Callipepla californica,426
Lophura nycthemera,290
Tragopan satyra,248
Phasianus colchicus,217
Meleagris ocellata,215
Alectoris rufa,202
Lophophorus impejanus,181
Catreus wallichi,171
Syrmaticus mikado,148
Lophura diardi,124
Crossoptilon auritum,108
Pavo muticus,101
Alectoris graeca,99
Crossoptilon crossoptilon,96
Acryllium vulturinum,89
Coturnix coturnix,87
Syrmaticus soemmerringii,85
Pavo cristatus,79
Alectoris chukar,78
Crossoptilon mantchuricum,76
Lagopus lagopus,72
Coturnix japonica,71
Perdix perdix,71
Gallus varius,62
Lophura erythrophthalma,60
Gallus lafayetii,59
Syrmaticus reevesii,59
Crax fasciolata,58
Gallus sonneratii,58
Phasianus versicolor,54
Syrmaticus humiae,53
Lophura ignita,52
Callipepla squamata,43
Tragopan caboti,43
Lophura leucomelanos,42
Mitu tuberosum,42
Syrmaticus ellioti,38
Crax rubra,36
Tetrao tetrix,36
Alectoris barbara,35
Chrysolophus amherstiae,34
Tympanuchus cupido,32
Colinus virginianus,30
Lophura edwardsi,30
Tragopan temminckii,28
Numida meleagris,22
Penelope purpurascens,18
Callipepla douglasii,16
Crax alector,16
Philortyx fasciatus,14
Tetrao urogallus,14
Dendragapus obscurus,13
Lophura swinhoii,11
Crax globulosa,10
Mitu mitu,10
Ortalis canicollis,9
Colinus cristatus,8
Crax alberti,8
Francolinus bicalcaratus,7
Callipepla gambelii,4
Penelope pileata,4
Francolinus erckelii,3
Penelope superciliaris,3
Tympanuchus phasianellus,3
Ortalis guttata,2
Colinus nigrogularis,1
Penelope argyrotis,1
Alectoris magna,0
Crossoptilon harmani,0
Dendragapus fuliginosus,0
Ortalis poliocephala,0
Ortalis wagleri,0
Penelope jacucaca,0
